[    2.004178] Interrupt Taken: 	 Vector = 0x0000000F
[    2.004256] Interrupt Served: 	 Vector = 0x0000000F
[    2.008314] Interrupt Taken: 	 Vector = 0x0000000F
[    2.008373] Interrupt Served: 	 Vector = 0x0000000F
[    2.012333] Interrupt Taken: 	 Vector = 0x0000000F
[    2.012383] Interrupt Served: 	 Vector = 0x0000000F
[    2.016091] Interrupt Taken: 	 Vector = 0x0000000F
[    2.016153] Interrupt Served: 	 Vector = 0x0000000F
[    2.019671] [passthrough] Read: 	 address = 0x58024410, size = 4 bytes, value = 0x00000000, pc=0x080014AA 
[    2.020195] Interrupt Taken: 	 Vector = 0x0000000F
[    2.020263] Interrupt Served: 	 Vector = 0x0000000F
[    2.023783] Interrupt Taken: 	 Vector = 0x0000000F
[    2.023837] Interrupt Served: 	 Vector = 0x0000000F
[    2.027790] Interrupt Taken: 	 Vector = 0x0000000F
[    2.027859] Interrupt Served: 	 Vector = 0x0000000F
[    2.031794] [passthrough] Read: 	 address = 0x58024410, size = 4 bytes, value = 0x00000000, pc=0x080014B4 
[    2.032283] Interrupt Taken: 	 Vector = 0x0000000F
[    2.032341] Interrupt Served: 	 Vector = 0x0000000F
[    2.035840] Interrupt Taken: 	 Vector = 0x0000000F
[    2.035938] Interrupt Served: 	 Vector = 0x0000000F
[    2.039729] Interrupt Taken: 	 Vector = 0x0000000F
[    2.039806] Interrupt Served: 	 Vector = 0x0000000F
[    2.043578] Interrupt Taken: 	 Vector = 0x0000000F
[    2.043640] Interrupt Served: 	 Vector = 0x0000000F
[    2.047345] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x080014E4 
[    2.047946] Interrupt Taken: 	 Vector = 0x0000000F
[    2.048030] Interrupt Served: 	 Vector = 0x0000000F
[    2.051651] Interrupt Taken: 	 Vector = 0x0000000F
[    2.051717] Interrupt Served: 	 Vector = 0x0000000F
[    2.055233] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00014025, pc=0x080014EA 
[    2.055943] Interrupt Taken: 	 Vector = 0x0000000F
[    2.056007] Interrupt Served: 	 Vector = 0x0000000F
[    2.059723] Interrupt Taken: 	 Vector = 0x0000000F
[    2.059791] Interrupt Served: 	 Vector = 0x0000000F
[    2.063466] Interrupt Taken: 	 Vector = 0x0000000F
[    2.063554] Interrupt Served: 	 Vector = 0x0000000F
[    2.067389] Interrupt Taken: 	 Vector = 0x0000000F
[    2.067466] Interrupt Served: 	 Vector = 0x0000000F
