[    1.983465] Interrupt Taken: 	 Vector = 0x0000000F
[    1.983590] Interrupt Served: 	 Vector = 0x0000000F
[    1.986371] Interrupt Taken: 	 Vector = 0x0000000F
[    1.986516] Interrupt Served: 	 Vector = 0x0000000F
[    1.988700] [passthrough] Write: 	 address = 0x40007000, size = 4 bytes, value = 0x00004000, pc=0x080005EA 
[    1.989544] Interrupt Taken: 	 Vector = 0x0000000F
[    1.989609] Interrupt Served: 	 Vector = 0x0000000F
[    1.992933] Interrupt Taken: 	 Vector = 0x0000000F
[    1.993058] Interrupt Served: 	 Vector = 0x0000000F
[    1.994572] Interrupt Taken: 	 Vector = 0x0000000F
[    1.994638] Interrupt Served: 	 Vector = 0x0000000F
[    1.998137] [passthrough] Read: 	 address = 0x40007000, size = 4 bytes, value = 0x00004000, pc=0x080005EE 
[    1.998557] Interrupt Taken: 	 Vector = 0x0000000F
[    1.998705] Interrupt Served: 	 Vector = 0x0000000F
[    2.000671] Interrupt Taken: 	 Vector = 0x0000000F
[    2.000783] Interrupt Served: 	 Vector = 0x0000000F
[    2.004058] Interrupt Taken: 	 Vector = 0x0000000F
[    2.004222] Interrupt Served: 	 Vector = 0x0000000F
[    2.007223] Interrupt Taken: 	 Vector = 0x0000000F
[    2.007303] Interrupt Served: 	 Vector = 0x0000000F
[    2.010155] Interrupt Taken: 	 Vector = 0x0000000F
[    2.010255] Interrupt Served: 	 Vector = 0x0000000F
[    2.012772] Interrupt Taken: 	 Vector = 0x0000000F
[    2.012898] Interrupt Served: 	 Vector = 0x0000000F
[    2.015187] Interrupt Taken: 	 Vector = 0x0000000F
[    2.015305] Interrupt Served: 	 Vector = 0x0000000F
[    2.017789] Interrupt Taken: 	 Vector = 0x0000000F
[    2.017926] Interrupt Served: 	 Vector = 0x0000000F
[    2.019609] Interrupt Taken: 	 Vector = 0x0000000F
[    2.019728] Interrupt Served: 	 Vector = 0x0000000F
[    2.021995] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00000000, pc=0x0800121C 
[    2.022414] Interrupt Taken: 	 Vector = 0x0000000F
[    2.022617] Interrupt Served: 	 Vector = 0x0000000F
[    2.024275] Interrupt Taken: 	 Vector = 0x0000000F
[    2.024353] Interrupt Served: 	 Vector = 0x0000000F
[    2.026633] Interrupt Taken: 	 Vector = 0x0000000F
[    2.026749] Interrupt Served: 	 Vector = 0x0000000F
[    2.028235] Interrupt Taken: 	 Vector = 0x0000000F
[    2.028310] Interrupt Served: 	 Vector = 0x0000000F
[    2.030914] Interrupt Taken: 	 Vector = 0x0000000F
[    2.030994] Interrupt Served: 	 Vector = 0x0000000F
[    2.033451] [passthrough] Read: 	 address = 0x40023800, size = 4 bytes, value = 0x00008083, pc=0x08001240 
[    2.033873] Interrupt Taken: 	 Vector = 0x0000000F
[    2.033916] Interrupt Served: 	 Vector = 0x0000000F
[    2.036144] Interrupt Taken: 	 Vector = 0x0000000F
[    2.036292] Interrupt Served: 	 Vector = 0x0000000F
[    2.037888] Interrupt Taken: 	 Vector = 0x0000000F
[    2.037972] Interrupt Served: 	 Vector = 0x0000000F
[    2.040376] Interrupt Taken: 	 Vector = 0x0000000F
[    2.040531] Interrupt Served: 	 Vector = 0x0000000F
[    2.042130] Interrupt Taken: 	 Vector = 0x0000000F
[    2.042196] Interrupt Served: 	 Vector = 0x0000000F
[    2.044807] Interrupt Taken: 	 Vector = 0x0000000F
[    2.044930] Interrupt Served: 	 Vector = 0x0000000F
[    2.046620] Interrupt Taken: 	 Vector = 0x0000000F
[    2.046704] Interrupt Served: 	 Vector = 0x0000000F
[    2.049158] [passthrough] Read: 	 address = 0x40023800, size = 4 bytes, value = 0x00008083, pc=0x08001258 
[    2.049629] Interrupt Taken: 	 Vector = 0x0000000F
[    2.049700] Interrupt Served: 	 Vector = 0x0000000F
[    2.052298] Interrupt Taken: 	 Vector = 0x0000000F
[    2.052422] Interrupt Served: 	 Vector = 0x0000000F
[    2.054296] Interrupt Taken: 	 Vector = 0x0000000F
[    2.054359] Interrupt Served: 	 Vector = 0x0000000F
[    2.056601] [passthrough] Write: 	 address = 0x40023800, size = 4 bytes, value = 0x00008083, pc=0x08001268 
[    2.057499] Interrupt Taken: 	 Vector = 0x0000000F
[    2.057656] Interrupt Served: 	 Vector = 0x0000000F
[    2.059190] Interrupt Taken: 	 Vector = 0x0000000F
[    2.059243] Interrupt Served: 	 Vector = 0x0000000F
[    2.061168] Interrupt Taken: 	 Vector = 0x0000000F
[    2.061212] Interrupt Served: 	 Vector = 0x0000000F
[    2.063538] Interrupt Taken: 	 Vector = 0x0000000F
[    2.063671] Interrupt Served: 	 Vector = 0x0000000F
[    2.065410] Interrupt Taken: 	 Vector = 0x0000000F
[    2.065951] Interrupt Served: 	 Vector = 0x0000000F
[    2.067712] Interrupt Taken: 	 Vector = 0x0000000F
[    2.067829] Interrupt Served: 	 Vector = 0x0000000F
[    2.070131] Interrupt Taken: 	 Vector = 0x0000000F
[    2.070212] Interrupt Served: 	 Vector = 0x0000000F
[    2.072900] Interrupt Taken: 	 Vector = 0x0000000F
[    2.073004] Interrupt Served: 	 Vector = 0x0000000F
[    2.075496] Interrupt Taken: 	 Vector = 0x0000000F
[    2.075561] Interrupt Served: 	 Vector = 0x0000000F
[    2.077463] Interrupt Taken: 	 Vector = 0x0000000F
[    2.077556] Interrupt Served: 	 Vector = 0x0000000F
[    2.080244] Interrupt Taken: 	 Vector = 0x0000000F
[    2.080324] Interrupt Served: 	 Vector = 0x0000000F
[    2.083438] Interrupt Taken: 	 Vector = 0x0000000F
[    2.083553] Interrupt Served: 	 Vector = 0x0000000F
[    2.086027] Interrupt Taken: 	 Vector = 0x0000000F
[    2.086094] Interrupt Served: 	 Vector = 0x0000000F
[    2.088401] [passthrough] Read: 	 address = 0x40023C00, size = 4 bytes, value = 0x00000000, pc=0x0800163E 
[    2.088894] Interrupt Taken: 	 Vector = 0x0000000F
[    2.089031] Interrupt Served: 	 Vector = 0x0000000F
[    2.090711] Interrupt Taken: 	 Vector = 0x0000000F
[    2.090790] Interrupt Served: 	 Vector = 0x0000000F
[    2.092870] Interrupt Taken: 	 Vector = 0x0000000F
[    2.092926] Interrupt Served: 	 Vector = 0x0000000F
[    2.095289] Interrupt Taken: 	 Vector = 0x0000000F
[    2.095357] Interrupt Served: 	 Vector = 0x0000000F
[    2.097783] Interrupt Taken: 	 Vector = 0x0000000F
[    2.097837] Interrupt Served: 	 Vector = 0x0000000F
