[    2.072393] Interrupt Served: 	 Vector = 0x0000000F
[    2.075433] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08001820 
[    2.075881] Interrupt Taken: 	 Vector = 0x0000000F
[    2.075941] Interrupt Served: 	 Vector = 0x0000000F
[    2.078545] Interrupt Taken: 	 Vector = 0x0000000F
[    2.078585] Interrupt Served: 	 Vector = 0x0000000F
[    2.081690] Interrupt Taken: 	 Vector = 0x0000000F
[    2.081714] Interrupt Served: 	 Vector = 0x0000000F
[    2.084831] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x0800182E 
[    2.085346] Interrupt Taken: 	 Vector = 0x0000000F
[    2.085413] Interrupt Served: 	 Vector = 0x0000000F
[    2.088061] Interrupt Taken: 	 Vector = 0x0000000F
[    2.088122] Interrupt Served: 	 Vector = 0x0000000F
[    2.091042] Interrupt Taken: 	 Vector = 0x0000000F
[    2.091078] Interrupt Served: 	 Vector = 0x0000000F
[    2.094520] Interrupt Taken: 	 Vector = 0x0000000F
[    2.094558] Interrupt Served: 	 Vector = 0x0000000F
[    2.097771] Interrupt Taken: 	 Vector = 0x0000000F
[    2.097810] Interrupt Served: 	 Vector = 0x0000000F
[    2.101028] Interrupt Taken: 	 Vector = 0x0000000F
[    2.101061] Interrupt Served: 	 Vector = 0x0000000F
[    2.104534] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x0800184C 
[    2.105015] Interrupt Taken: 	 Vector = 0x0000000F
[    2.105128] Interrupt Served: 	 Vector = 0x0000000F
[    2.107819] Interrupt Taken: 	 Vector = 0x0000000F
[    2.108013] Interrupt Served: 	 Vector = 0x0000000F
[    2.110774] Interrupt Taken: 	 Vector = 0x0000000F
[    2.110879] Interrupt Served: 	 Vector = 0x0000000F
[    2.114440] Interrupt Taken: 	 Vector = 0x0000000F
[    2.114573] Interrupt Served: 	 Vector = 0x0000000F
[    2.117379] Interrupt Taken: 	 Vector = 0x0000000F
[    2.117469] Interrupt Served: 	 Vector = 0x0000000F
[    2.121267] Interrupt Taken: 	 Vector = 0x0000000F
[    2.121440] Interrupt Served: 	 Vector = 0x0000000F
[    2.124304] Interrupt Taken: 	 Vector = 0x0000000F
[    2.124423] Interrupt Served: 	 Vector = 0x0000000F
[    2.128620] Interrupt Taken: 	 Vector = 0x0000000F
[    2.128704] Interrupt Served: 	 Vector = 0x0000000F
[    2.132173] [passthrough] Read: 	 address = 0x5C001000, size = 4 bytes, value = 0x20036450, pc=0x08000F6E 
[    2.132682] Interrupt Taken: 	 Vector = 0x0000000F
[    2.132747] Interrupt Served: 	 Vector = 0x0000000F
[    2.136746] Interrupt Taken: 	 Vector = 0x0000000F
[    2.136821] Interrupt Served: 	 Vector = 0x0000000F
[    2.140353] Interrupt Taken: 	 Vector = 0x0000000F
[    2.140426] Interrupt Served: 	 Vector = 0x0000000F
[    2.144555] Interrupt Taken: 	 Vector = 0x0000000F
[    2.144700] Interrupt Served: 	 Vector = 0x0000000F
[    2.147857] Interrupt Taken: 	 Vector = 0x0000000F
[    2.147978] Interrupt Served: 	 Vector = 0x0000000F
[    2.151500] [passthrough] Read: 	 address = 0x58024404, size = 4 bytes, value = 0x40000edc, pc=0x08001896 
[    2.152015] Interrupt Taken: 	 Vector = 0x0000000F
[    2.152062] Interrupt Served: 	 Vector = 0x0000000F
[    2.155924] Interrupt Taken: 	 Vector = 0x0000000F
[    2.156082] Interrupt Served: 	 Vector = 0x0000000F
[    2.158905] Interrupt Taken: 	 Vector = 0x0000000F
[    2.159007] Interrupt Served: 	 Vector = 0x0000000F
[    2.162881] [passthrough] Write: 	 address = 0x58024404, size = 4 bytes, value = 0x40000edc, pc=0x080018A6 
[    2.163599] Interrupt Taken: 	 Vector = 0x0000000F
[    2.163741] Interrupt Served: 	 Vector = 0x0000000F
[    2.166456] Interrupt Taken: 	 Vector = 0x0000000F
[    2.166531] Interrupt Served: 	 Vector = 0x0000000F
[    2.169992] Interrupt Taken: 	 Vector = 0x0000000F
[    2.170113] Interrupt Served: 	 Vector = 0x0000000F
[    2.173119] Interrupt Taken: 	 Vector = 0x0000000F
[    2.173194] Interrupt Served: 	 Vector = 0x0000000F
[    2.176883] Interrupt Taken: 	 Vector = 0x0000000F
[    2.176976] Interrupt Served: 	 Vector = 0x0000000F
[    2.180568] Interrupt Taken: 	 Vector = 0x0000000F
[    2.180653] Interrupt Served: 	 Vector = 0x0000000F
[    2.184372] Interrupt Taken: 	 Vector = 0x0000000F
[    2.184425] Interrupt Served: 	 Vector = 0x0000000F
[    2.188017] Interrupt Taken: 	 Vector = 0x0000000F
[    2.188077] Interrupt Served: 	 Vector = 0x0000000F
[    2.191665] Interrupt Taken: 	 Vector = 0x0000000F
[    2.191735] Interrupt Served: 	 Vector = 0x0000000F
[    2.195376] Interrupt Taken: 	 Vector = 0x0000000F
[    2.195433] Interrupt Served: 	 Vector = 0x0000000F
[    2.199104] Interrupt Taken: 	 Vector = 0x0000000F
[    2.199158] Interrupt Served: 	 Vector = 0x0000000F
[    2.203018] Interrupt Taken: 	 Vector = 0x0000000F
[    2.203074] Interrupt Served: 	 Vector = 0x0000000F
[    2.206993] Interrupt Taken: 	 Vector = 0x0000000F
[    2.207068] Interrupt Served: 	 Vector = 0x0000000F
[    2.211168] Interrupt Taken: 	 Vector = 0x0000000F
[    2.211356] Interrupt Served: 	 Vector = 0x0000000F
[    2.214455] Interrupt Taken: 	 Vector = 0x0000000F
[    2.214557] Interrupt Served: 	 Vector = 0x0000000F
[    2.218198] [passthrough] Read: 	 address = 0x52002000, size = 4 bytes, value = 0x00000037, pc=0x08001F6A 
[    2.218703] Interrupt Taken: 	 Vector = 0x0000000F
[    2.218810] Interrupt Served: 	 Vector = 0x0000000F
[    2.221666] Interrupt Taken: 	 Vector = 0x0000000F
[    2.221785] Interrupt Served: 	 Vector = 0x0000000F
[    2.225704] Interrupt Taken: 	 Vector = 0x0000000F
[    2.225789] Interrupt Served: 	 Vector = 0x0000000F
[    2.229602] Interrupt Taken: 	 Vector = 0x0000000F
[    2.229657] Interrupt Served: 	 Vector = 0x0000000F
[    2.233673] Interrupt Taken: 	 Vector = 0x0000000F
[    2.233749] Interrupt Served: 	 Vector = 0x0000000F
[    2.237239] [passthrough] Read: 	 address = 0x58024418, size = 4 bytes, value = 0x00000000, pc=0x08001FAA 
[    2.237694] Interrupt Taken: 	 Vector = 0x0000000F
[    2.237817] Interrupt Served: 	 Vector = 0x0000000F
[    2.240641] Interrupt Taken: 	 Vector = 0x0000000F
[    2.240718] Interrupt Served: 	 Vector = 0x0000000F
[    2.244312] Interrupt Taken: 	 Vector = 0x0000000F
[    2.244404] Interrupt Served: 	 Vector = 0x0000000F
[    2.248027] Interrupt Taken: 	 Vector = 0x0000000F
[    2.248079] Interrupt Served: 	 Vector = 0x0000000F
[    2.251901] Interrupt Taken: 	 Vector = 0x0000000F
[    2.251947] Interrupt Served: 	 Vector = 0x0000000F
[    2.255387] [passthrough] Read: 	 address = 0x5802441C, size = 4 bytes, value = 0x00000000, pc=0x08001FD8 
[    2.255841] Interrupt Taken: 	 Vector = 0x0000000F
[    2.255875] Interrupt Served: 	 Vector = 0x0000000F
[    2.259228] Interrupt Taken: 	 Vector = 0x0000000F
[    2.259272] Interrupt Served: 	 Vector = 0x0000000F
[    2.263168] Interrupt Taken: 	 Vector = 0x0000000F
[    2.263240] Interrupt Served: 	 Vector = 0x0000000F
[    2.267166] Interrupt Taken: 	 Vector = 0x0000000F
[    2.267233] Interrupt Served: 	 Vector = 0x0000000F
[    2.270871] [passthrough] Read: 	 address = 0x5802441C, size = 4 bytes, value = 0x00000000, pc=0x08002006 
[    2.271384] Interrupt Taken: 	 Vector = 0x0000000F
[    2.271506] Interrupt Served: 	 Vector = 0x0000000F
[    2.274350] Interrupt Taken: 	 Vector = 0x0000000F
[    2.274456] Interrupt Served: 	 Vector = 0x0000000F
[    2.278074] Interrupt Taken: 	 Vector = 0x0000000F
[    2.278143] Interrupt Served: 	 Vector = 0x0000000F
[    2.282125] Interrupt Taken: 	 Vector = 0x0000000F
[    2.282195] Interrupt Served: 	 Vector = 0x0000000F
[    2.286008] Interrupt Taken: 	 Vector = 0x0000000F
[    2.286065] Interrupt Served: 	 Vector = 0x0000000F
[    2.289705] [passthrough] Read: 	 address = 0x58024420, size = 4 bytes, value = 0x00000000, pc=0x08002034 
[    2.290188] Interrupt Taken: 	 Vector = 0x0000000F
[    2.290316] Interrupt Served: 	 Vector = 0x0000000F
[    2.293295] Interrupt Taken: 	 Vector = 0x0000000F
[    2.293427] Interrupt Served: 	 Vector = 0x0000000F
[    2.296705] Interrupt Taken: 	 Vector = 0x0000000F
[    2.296754] Interrupt Served: 	 Vector = 0x0000000F
[    2.300314] Interrupt Taken: 	 Vector = 0x0000000F
[    2.300391] Interrupt Served: 	 Vector = 0x0000000F
[    2.304462] Interrupt Taken: 	 Vector = 0x0000000F
[    2.304584] Interrupt Served: 	 Vector = 0x0000000F
[    2.307637] Interrupt Taken: 	 Vector = 0x0000000F
[    2.307747] Interrupt Served: 	 Vector = 0x0000000F
[    2.311250] [passthrough] Read: 	 address = 0x58024418, size = 4 bytes, value = 0x00000000, pc=0x08002062 
[    2.311724] Interrupt Taken: 	 Vector = 0x0000000F
[    2.311832] Interrupt Served: 	 Vector = 0x0000000F
[    2.314686] Interrupt Taken: 	 Vector = 0x0000000F
[    2.314765] Interrupt Served: 	 Vector = 0x0000000F
[    2.318368] Interrupt Taken: 	 Vector = 0x0000000F
[    2.318432] Interrupt Served: 	 Vector = 0x0000000F
[    2.322149] Interrupt Taken: 	 Vector = 0x0000000F
[    2.322220] Interrupt Served: 	 Vector = 0x0000000F
[    2.326436] Interrupt Taken: 	 Vector = 0x0000000F
[    2.326521] Interrupt Served: 	 Vector = 0x0000000F
