[    2.072363] Interrupt Taken: 	 Vector = 0x0000000F
[    2.072462] Interrupt Served: 	 Vector = 0x0000000F
[    2.074015] Interrupt Taken: 	 Vector = 0x0000000F
[    2.074072] Interrupt Served: 	 Vector = 0x0000000F
[    2.076392] Interrupt Taken: 	 Vector = 0x0000000F
[    2.076459] Interrupt Served: 	 Vector = 0x0000000F
[    2.078862] Interrupt Taken: 	 Vector = 0x0000000F
[    2.079014] Interrupt Served: 	 Vector = 0x0000000F
[    2.080527] Interrupt Taken: 	 Vector = 0x0000000F
[    2.080773] Interrupt Served: 	 Vector = 0x0000000F
[    2.082257] Interrupt Taken: 	 Vector = 0x0000000F
[    2.082303] Interrupt Served: 	 Vector = 0x0000000F
[    2.084145] Interrupt Taken: 	 Vector = 0x0000000F
[    2.084197] Interrupt Served: 	 Vector = 0x0000000F
[    2.086527] Interrupt Taken: 	 Vector = 0x0000000F
[    2.086575] Interrupt Served: 	 Vector = 0x0000000F
[    2.088493] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00000000, pc=0x080015C6 
[    2.088835] Interrupt Taken: 	 Vector = 0x0000000F
[    2.088943] Interrupt Served: 	 Vector = 0x0000000F
[    2.090349] Interrupt Taken: 	 Vector = 0x0000000F
[    2.090400] Interrupt Served: 	 Vector = 0x0000000F
[    2.092307] Interrupt Taken: 	 Vector = 0x0000000F
[    2.092335] Interrupt Served: 	 Vector = 0x0000000F
[    2.093993] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x00001c00, pc=0x080015CE 
[    2.094437] Interrupt Taken: 	 Vector = 0x0000000F
[    2.094455] Interrupt Served: 	 Vector = 0x0000000F
[    2.096363] Interrupt Taken: 	 Vector = 0x0000000F
[    2.096395] Interrupt Served: 	 Vector = 0x0000000F
[    2.098656] Interrupt Taken: 	 Vector = 0x0000000F
[    2.098703] Interrupt Served: 	 Vector = 0x0000000F
[    2.100316] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00001c00, pc=0x080015DE 
[    2.100609] Interrupt Taken: 	 Vector = 0x0000000F
[    2.100649] Interrupt Served: 	 Vector = 0x0000000F
[    2.102076] Interrupt Taken: 	 Vector = 0x0000000F
[    2.102132] Interrupt Served: 	 Vector = 0x0000000F
[    2.104069] Interrupt Taken: 	 Vector = 0x0000000F
[    2.104099] Interrupt Served: 	 Vector = 0x0000000F
[    2.105600] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x080015E6 
[    2.106137] Interrupt Taken: 	 Vector = 0x0000000F
[    2.106150] Interrupt Served: 	 Vector = 0x0000000F
[    2.107836] Interrupt Taken: 	 Vector = 0x0000000F
[    2.107865] Interrupt Served: 	 Vector = 0x0000000F
[    2.109427] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x080015EA 
[    2.109759] Interrupt Taken: 	 Vector = 0x0000000F
[    2.109774] Interrupt Served: 	 Vector = 0x0000000F
[    2.111496] Interrupt Taken: 	 Vector = 0x0000000F
[    2.111521] Interrupt Served: 	 Vector = 0x0000000F
[    2.113209] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x080015F8 
[    2.113792] Interrupt Taken: 	 Vector = 0x0000000F
[    2.113810] Interrupt Served: 	 Vector = 0x0000000F
[    2.115536] Interrupt Taken: 	 Vector = 0x0000000F
[    2.115580] Interrupt Served: 	 Vector = 0x0000000F
[    2.117017] Interrupt Taken: 	 Vector = 0x0000000F
[    2.117136] Interrupt Served: 	 Vector = 0x0000000F
[    2.118576] Interrupt Taken: 	 Vector = 0x0000000F
[    2.118631] Interrupt Served: 	 Vector = 0x0000000F
[    2.120302] Interrupt Taken: 	 Vector = 0x0000000F
[    2.120327] Interrupt Served: 	 Vector = 0x0000000F
[    2.122097] Interrupt Taken: 	 Vector = 0x0000000F
[    2.122119] Interrupt Served: 	 Vector = 0x0000000F
[    2.123650] Interrupt Taken: 	 Vector = 0x0000000F
[    2.123681] Interrupt Served: 	 Vector = 0x0000000F
[    2.125345] [passthrough] Read: 	 address = 0x40023800, size = 4 bytes, value = 0x00008083, pc=0x08001638 
[    2.125618] Interrupt Taken: 	 Vector = 0x0000000F
[    2.125632] Interrupt Served: 	 Vector = 0x0000000F
[    2.127276] Interrupt Taken: 	 Vector = 0x0000000F
[    2.127296] Interrupt Served: 	 Vector = 0x0000000F
[    2.129018] Interrupt Taken: 	 Vector = 0x0000000F
[    2.129043] Interrupt Served: 	 Vector = 0x0000000F
[    2.130618] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x08001648 
[    2.130934] Interrupt Taken: 	 Vector = 0x0000000F
[    2.130960] Interrupt Served: 	 Vector = 0x0000000F
[    2.132810] Interrupt Taken: 	 Vector = 0x0000000F
[    2.132846] Interrupt Served: 	 Vector = 0x0000000F
[    2.134461] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x08001656 
[    2.134984] Interrupt Taken: 	 Vector = 0x0000000F
[    2.135011] Interrupt Served: 	 Vector = 0x0000000F
[    2.136651] Interrupt Taken: 	 Vector = 0x0000000F
[    2.136686] Interrupt Served: 	 Vector = 0x0000000F
[    2.138546] Interrupt Taken: 	 Vector = 0x0000000F
[    2.138568] Interrupt Served: 	 Vector = 0x0000000F
[    2.140200] Interrupt Taken: 	 Vector = 0x0000000F
[    2.140221] Interrupt Served: 	 Vector = 0x0000000F
[    2.142125] Interrupt Taken: 	 Vector = 0x0000000F
[    2.142179] Interrupt Served: 	 Vector = 0x0000000F
[    2.143554] Interrupt Taken: 	 Vector = 0x0000000F
[    2.143583] Interrupt Served: 	 Vector = 0x0000000F
[    2.145254] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x08001678 
[    2.145580] Interrupt Taken: 	 Vector = 0x0000000F
[    2.145648] Interrupt Served: 	 Vector = 0x0000000F
[    2.147044] Interrupt Taken: 	 Vector = 0x0000000F
[    2.147077] Interrupt Served: 	 Vector = 0x0000000F
[    2.148856] Interrupt Taken: 	 Vector = 0x0000000F
[    2.148885] Interrupt Served: 	 Vector = 0x0000000F
[    2.150846] Interrupt Taken: 	 Vector = 0x0000000F
[    2.150877] Interrupt Served: 	 Vector = 0x0000000F
[    2.152560] [passthrough] Read: 	 address = 0x40023C00, size = 4 bytes, value = 0x00000000, pc=0x0800168A 
[    2.152885] Interrupt Taken: 	 Vector = 0x0000000F
[    2.152915] Interrupt Served: 	 Vector = 0x0000000F
[    2.154868] Interrupt Taken: 	 Vector = 0x0000000F
[    2.154938] Interrupt Served: 	 Vector = 0x0000000F
[    2.156336] Interrupt Taken: 	 Vector = 0x0000000F
[    2.156367] Interrupt Served: 	 Vector = 0x0000000F
[    2.158198] Interrupt Taken: 	 Vector = 0x0000000F
[    2.158262] Interrupt Served: 	 Vector = 0x0000000F
[    2.159771] Interrupt Taken: 	 Vector = 0x0000000F
[    2.159815] Interrupt Served: 	 Vector = 0x0000000F
[    2.161948] Interrupt Taken: 	 Vector = 0x0000000F
[    2.162031] Interrupt Served: 	 Vector = 0x0000000F
[    2.163534] Interrupt Taken: 	 Vector = 0x0000000F
[    2.163585] Interrupt Served: 	 Vector = 0x0000000F
[    2.165568] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x080016C6 
[    2.166038] Interrupt Taken: 	 Vector = 0x0000000F
[    2.166113] Interrupt Served: 	 Vector = 0x0000000F
[    2.167639] Interrupt Taken: 	 Vector = 0x0000000F
[    2.167751] Interrupt Served: 	 Vector = 0x0000000F
[    2.170046] Interrupt Taken: 	 Vector = 0x0000000F
[    2.170120] Interrupt Served: 	 Vector = 0x0000000F
[    2.172344] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x0000f000, pc=0x080016D4 
[    2.173043] Interrupt Taken: 	 Vector = 0x0000000F
[    2.173085] Interrupt Served: 	 Vector = 0x0000000F
[    2.175521] Interrupt Taken: 	 Vector = 0x0000000F
[    2.175585] Interrupt Served: 	 Vector = 0x0000000F
[    2.178098] Interrupt Taken: 	 Vector = 0x0000000F
[    2.178196] Interrupt Served: 	 Vector = 0x0000000F
[    2.179785] Interrupt Taken: 	 Vector = 0x0000000F
[    2.179878] Interrupt Served: 	 Vector = 0x0000000F
[    2.182167] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000f000, pc=0x080016E4 
[    2.182531] Interrupt Taken: 	 Vector = 0x0000000F
[    2.182572] Interrupt Served: 	 Vector = 0x0000000F
[    2.184914] Interrupt Taken: 	 Vector = 0x0000000F
[    2.184982] Interrupt Served: 	 Vector = 0x0000000F
